Months,Results
M38,0
M37,0
M36,1
M35,2
M34,0
M33,2
M32,2
M31,0
M30,0
M29,3
M28,1
M27,0
M26,2
M25,3
M24,3
M23,0
M22,4
M21,6
M20,0
M19,2
M18,1
M17,4
M16,0
M15,7
M14,7
M13,29
M12,-1
M11,26
M10,91
M9,18
M8,0
M7,16
M6,10
M5,-2
M4,0
M3,23
M2,15
